order_id,product_id,quantity,unit_price,discount
ORD-01001,PROD-0027,1,475.67,0.0
ORD-01002,PROD-0063,4,141.61,0.0
ORD-01002,PROD-0115,3,129.13,0.0
ORD-01003,PROD-0029,1,215.51,0.1
ORD-01003,PROD-0034,5,123.52,0.05
ORD-01004,PROD-0076,2,172.3,0.05
ORD-01004,PROD-0097,1,97.54,0.0
ORD-01005,PROD-0011,3,199.78,0.05
ORD-01005,PROD-0039,1,386.21,0.05
ORD-01005,PROD-0061,2,132.61,0.15
ORD-01006,PROD-0022,1,618.78,0.05
ORD-01006,PROD-0025,5,405.16,0.0
ORD-01006,PROD-0028,8,173.49,0.2
ORD-01006,PROD-0104,8,154.09,0.1
ORD-01007,PROD-0036,2,441.84,0.15
ORD-01007,PROD-0067,5,90.9,0.1
ORD-01008,PROD-0075,7,207.96,0.0
ORD-01008,PROD-0098,1,232.83,0.1
ORD-01009,PROD-0084,3,238.67,0.05
ORD-01010,PROD-0052,2,34.51,0.0
ORD-01010,PROD-0089,1,180.92,0.15
ORD-01011,PROD-0036,1,441.84,0.0
ORD-01011,PROD-0039,5,386.21,0.15
ORD-01011,PROD-0040,4,623.68,0.2
ORD-01012,PROD-0025,1,405.16,0.1
ORD-01012,PROD-0057,4,85.49,0.1
ORD-01013,PROD-0052,6,34.51,0.0
ORD-01013,PROD-0065,1,42.62,0.15
ORD-01014,PROD-0047,5,12.61,0.05
ORD-01014,PROD-0118,4,20.34,0.0
ORD-01015,PROD-0023,2,248.85,0.05
ORD-01015,PROD-0112,2,39.72,0.1
ORD-01016,PROD-0110,3,115.09,0.2
ORD-01017,PROD-0003,4,81.36,0.05
ORD-01017,PROD-0066,5,239.7,0.2
ORD-01019,PROD-0028,2,173.49,0.2
ORD-01019,PROD-0060,3,46.33,0.05
ORD-01020,PROD-0072,3,108.9,0.0
ORD-01020,PROD-0077,8,252.19,0.1
ORD-01020,PROD-0083,1,228.1,0.0
ORD-01021,PROD-0020,1,43.92,0.15
ORD-01021,PROD-0025,3,405.16,0.0
ORD-01022,PROD-0038,4,539.34,0.05
ORD-01022,PROD-0064,2,239.47,0.0
ORD-01022,PROD-0084,1,238.67,0.05
ORD-01023,PROD-0061,3,132.61,0.15
ORD-01023,PROD-0101,6,92.55,0.1
ORD-01024,PROD-0072,1,108.9,0.05
ORD-01024,PROD-0093,4,213.7,0.0
ORD-01024,PROD-0104,4,154.09,0.05
ORD-01025,PROD-0038,2,539.34,0.0
ORD-01026,PROD-0114,1,46.53,0.0
ORD-01027,PROD-0018,2,252.09,0.05
ORD-01027,PROD-0026,6,289.77,0.05
ORD-01027,PROD-0044,2,9.04,0.1
ORD-01028,PROD-0001,4,101.47,0.05
ORD-01028,PROD-0008,2,224.41,0.0
ORD-01029,PROD-0056,3,6.43,0.05
ORD-01030,PROD-0002,4,124.53,0.05
ORD-01030,PROD-0042,4,31.42,0.0
ORD-01030,PROD-0115,1,129.13,0.0
ORD-01031,PROD-0009,2,122.59,0.1
ORD-01031,PROD-0022,5,618.78,0.0
ORD-01032,PROD-0044,4,9.04,0.0
ORD-01032,PROD-0046,8,89.97,0.0
ORD-01032,PROD-0063,1,141.61,0.0
ORD-01032,PROD-0116,6,134.64,0.1
ORD-01033,PROD-0005,3,34.21,0.0
ORD-01033,PROD-0049,8,82.88,0.1
ORD-01033,PROD-0102,6,121.36,0.0
ORD-01034,PROD-0033,4,74.33,0.1
ORD-01034,PROD-0071,2,103.4,0.0
ORD-01035,PROD-0078,4,242.21,0.05
ORD-01036,PROD-0014,3,22.81,0.2
ORD-01037,PROD-0006,4,149.77,0.05
ORD-01037,PROD-0021,3,321.01,0.3
ORD-01038,PROD-0074,4,49.38,0.0
ORD-01039,PROD-0030,5,57.35,0.15
ORD-01039,PROD-0038,4,539.34,0.05
ORD-01039,PROD-0059,5,88.97,0.05
ORD-01039,PROD-0083,2,228.1,0.0
ORD-01040,PROD-0018,4,252.09,0.0
ORD-01041,PROD-0044,2,9.04,0.15
ORD-01041,PROD-0048,1,26.92,0.05
ORD-01041,PROD-0105,7,65.54,0.0
ORD-01042,PROD-0093,1,213.7,0.15
ORD-01043,PROD-0024,6,332.34,0.1
ORD-01043,PROD-0057,3,85.49,0.15
ORD-01043,PROD-0087,3,59.25,0.1
ORD-01044,PROD-0006,2,149.77,0.0
ORD-01044,PROD-0009,4,122.59,0.1
ORD-01045,PROD-0067,3,90.9,0.05
ORD-01045,PROD-0089,4,180.92,0.05
ORD-01045,PROD-0090,4,235.91,0.1
ORD-01046,PROD-0120,1,72.62,0.15
ORD-01047,PROD-0036,1,441.84,0.0
ORD-01048,PROD-0058,2,52.43,0.2
ORD-01048,PROD-0074,1,49.38,0.05
ORD-01049,PROD-0012,3,118.44,0.15
ORD-01049,PROD-0106,5,24.47,0.2
ORD-01050,PROD-0007,2,117.78,0.25
ORD-01050,PROD-0106,5,24.47,0.15
ORD-01051,PROD-0013,3,341.17,0.0
ORD-01051,PROD-0098,2,232.83,0.1
ORD-01052,PROD-0022,3,618.78,0.1
ORD-01053,PROD-0110,2,115.09,0.05
ORD-01054,PROD-0016,3,349.12,0.0
ORD-01054,PROD-0076,1,172.3,0.05
ORD-01054,PROD-0087,3,59.25,0.2
ORD-01054,PROD-0108,4,103.9,0.05
ORD-01055,PROD-0023,5,248.85,0.0
ORD-01055,PROD-0075,2,207.96,0.15
ORD-01055,PROD-0089,3,180.92,0.05
ORD-01055,PROD-0094,2,69.53,0.05
ORD-01056,PROD-0018,6,252.09,0.05
ORD-01056,PROD-0104,1,154.09,0.05
ORD-01057,PROD-0026,3,289.77,0.0
ORD-01057,PROD-0027,2,475.67,0.1
ORD-01058,PROD-0046,4,89.97,0.05
ORD-01058,PROD-0072,4,108.9,0.15
ORD-01058,PROD-0098,3,232.83,0.05
ORD-01059,PROD-0019,1,344.72,0.0
ORD-01060,PROD-0008,4,224.41,0.0
ORD-01061,PROD-0087,3,59.25,0.0
ORD-01061,PROD-0095,3,23.73,0.05
ORD-01062,PROD-0050,2,89.69,0.05
ORD-01062,PROD-0054,1,54.96,0.0
ORD-01062,PROD-0088,6,225.31,0.1
ORD-01062,PROD-0101,3,92.55,0.1
ORD-01063,PROD-0025,1,405.16,0.1
ORD-01063,PROD-0038,1,539.34,0.0
ORD-01063,PROD-0058,3,52.43,0.05
ORD-01064,PROD-0001,1,101.47,0.0
ORD-01064,PROD-0033,2,74.33,0.1
ORD-01065,PROD-0039,2,386.21,0.1
ORD-01065,PROD-0085,3,15.51,0.05
ORD-01066,PROD-0065,1,42.62,0.05
ORD-01067,PROD-0043,2,81.04,0.2
ORD-01067,PROD-0047,3,12.61,0.05
ORD-01068,PROD-0083,7,228.1,0.1
ORD-01068,PROD-0116,3,134.64,0.1
ORD-01069,PROD-0093,5,213.7,0.05
ORD-01070,PROD-0042,1,31.42,0.0
ORD-01070,PROD-0066,8,239.7,0.1
ORD-01071,PROD-0028,4,173.49,0.25
ORD-01071,PROD-0111,1,17.21,0.1
ORD-01072,PROD-0004,2,350.21,0.0
ORD-01072,PROD-0059,1,88.97,0.1
ORD-01072,PROD-0092,3,172.48,0.05
ORD-01073,PROD-0003,1,81.36,0.1
ORD-01073,PROD-0041,2,37.4,0.0
ORD-01074,PROD-0014,3,22.81,0.15
ORD-01074,PROD-0065,2,42.62,0.1
ORD-01075,PROD-0029,5,215.51,0.05
ORD-01075,PROD-0069,1,203.59,0.05
ORD-01076,PROD-0048,1,26.92,0.05
ORD-01076,PROD-0083,6,228.1,0.0
ORD-01076,PROD-0094,7,69.53,0.0
ORD-01077,PROD-0095,6,23.73,0.05
ORD-01078,PROD-0079,5,65.81,0.0
ORD-01079,PROD-0060,1,46.33,0.05
ORD-01079,PROD-0071,4,103.4,0.0
ORD-01079,PROD-0120,3,72.62,0.0
ORD-01080,PROD-0080,1,53.84,0.0
ORD-01081,PROD-0020,5,43.92,0.2
ORD-01081,PROD-0047,5,12.61,0.1
ORD-01081,PROD-0073,1,85.44,0.0
ORD-01082,PROD-0060,3,46.33,0.0
ORD-01082,PROD-0062,3,68.16,0.0
ORD-01082,PROD-0113,2,38.39,0.1
ORD-01083,PROD-0010,3,30.5,0.0
ORD-01083,PROD-0081,1,167.73,0.0
ORD-01083,PROD-0094,3,69.53,0.05
ORD-01084,PROD-0061,2,132.61,0.15
ORD-01084,PROD-0070,3,225.17,0.0
ORD-01085,PROD-0047,3,12.61,0.1
ORD-01086,PROD-0073,6,85.44,0.0
ORD-01086,PROD-0085,4,15.51,0.15
ORD-01087,PROD-0030,1,57.35,0.0
ORD-01088,PROD-0084,2,238.67,0.1
ORD-01089,PROD-0070,3,225.17,0.05
ORD-01090,PROD-0033,2,74.33,0.15
ORD-01091,PROD-0062,3,68.16,0.05
ORD-01091,PROD-0114,1,46.53,0.0
ORD-01092,PROD-0047,3,12.61,0.1
ORD-01093,PROD-0027,2,475.67,0.0
ORD-01093,PROD-0062,3,68.16,0.1
ORD-01094,PROD-0074,6,49.38,0.05
ORD-01094,PROD-0115,1,129.13,0.0
ORD-01095,PROD-0085,2,15.51,0.2
ORD-01095,PROD-0094,2,69.53,0.0
ORD-01095,PROD-0106,5,24.47,0.0
ORD-01096,PROD-0066,3,239.7,0.0
ORD-01096,PROD-0080,2,53.84,0.1
ORD-01096,PROD-0085,2,15.51,0.05
ORD-01097,PROD-0054,3,54.96,0.15
ORD-01097,PROD-0065,5,42.62,0.05
ORD-01097,PROD-0088,1,225.31,0.15
ORD-01098,PROD-0078,7,242.21,0.1
ORD-01098,PROD-0116,3,134.64,0.0
ORD-01099,PROD-0030,2,57.35,0.1
ORD-01099,PROD-0055,3,64.0,0.1
ORD-01099,PROD-0103,6,39.33,0.1
ORD-01100,PROD-0011,4,199.78,0.1
ORD-01100,PROD-0110,2,115.09,0.0
ORD-01100,PROD-0117,2,59.3,0.15
ORD-01101,PROD-0089,2,180.92,0.05
ORD-01101,PROD-0103,1,39.33,0.1
ORD-01102,PROD-0036,2,441.84,0.0
ORD-01102,PROD-0088,3,225.31,0.05
ORD-01103,PROD-0045,5,49.53,0.0
ORD-01103,PROD-0074,2,49.38,0.0
ORD-01103,PROD-0091,7,213.39,0.0
ORD-01103,PROD-0100,1,134.68,0.1
ORD-01104,PROD-0088,1,225.31,0.05
ORD-01104,PROD-0091,3,213.39,0.1
ORD-01105,PROD-0029,2,215.51,0.05
ORD-01106,PROD-0008,2,224.41,0.0
ORD-01106,PROD-0077,5,252.19,0.1
ORD-01106,PROD-0100,3,134.68,0.1
ORD-01107,PROD-0030,1,57.35,0.0
ORD-01107,PROD-0079,1,65.81,0.0
ORD-01108,PROD-0051,3,76.8,0.05
ORD-01108,PROD-0052,4,34.51,0.0
ORD-01109,PROD-0029,1,215.51,0.0
ORD-01109,PROD-0036,2,441.84,0.05
ORD-01109,PROD-0045,3,49.53,0.0
ORD-01109,PROD-0105,6,65.54,0.05
ORD-01110,PROD-0069,7,203.59,0.05
ORD-01110,PROD-0102,7,121.36,0.05
ORD-01110,PROD-0105,4,65.54,0.1
ORD-01110,PROD-0113,3,38.39,0.1
ORD-01111,PROD-0049,3,82.88,0.2
ORD-01112,PROD-0090,2,235.91,0.0
ORD-01112,PROD-0107,2,75.08,0.1
ORD-01113,PROD-0028,3,173.49,0.15
ORD-01113,PROD-0115,4,129.13,0.15
ORD-01114,PROD-0034,1,123.52,0.0
ORD-01115,PROD-0011,4,199.78,0.1
ORD-01116,PROD-0041,6,37.4,0.15
ORD-01116,PROD-0064,3,239.47,0.0
ORD-01117,PROD-0007,5,117.78,0.2
ORD-01117,PROD-0068,3,156.65,0.05
ORD-01118,PROD-0067,2,90.9,0.1
ORD-01119,PROD-0079,1,65.81,0.05
ORD-01119,PROD-0111,1,17.21,0.05
ORD-01120,PROD-0048,2,26.92,0.05
ORD-01120,PROD-0097,2,97.54,0.05
ORD-01121,PROD-0031,3,193.53,0.15
ORD-01122,PROD-0002,2,124.53,0.0
ORD-01122,PROD-0023,6,248.85,0.1
ORD-01123,PROD-0007,1,117.78,0.25
ORD-01123,PROD-0073,2,85.44,0.1
ORD-01124,PROD-0047,3,12.61,0.15
ORD-01125,PROD-0026,1,289.77,0.1
ORD-01125,PROD-0074,2,49.38,0.1
ORD-01125,PROD-0078,3,242.21,0.1
ORD-01126,PROD-0019,6,344.72,0.05
ORD-01126,PROD-0081,5,167.73,0.1
ORD-01127,PROD-0030,2,57.35,0.1
ORD-01128,PROD-0047,2,12.61,0.0
ORD-01128,PROD-0111,4,17.21,0.05
ORD-01129,PROD-0011,3,199.78,0.0
ORD-01129,PROD-0027,2,475.67,0.1
ORD-01129,PROD-0090,1,235.91,0.0
ORD-01129,PROD-0096,1,33.06,0.15
ORD-01130,PROD-0050,2,89.69,0.1
ORD-01130,PROD-0114,2,46.53,0.0
ORD-01131,PROD-0111,2,17.21,0.05
ORD-01131,PROD-0118,8,20.34,0.05
ORD-01132,PROD-0023,2,248.85,0.1
ORD-01132,PROD-0076,6,172.3,0.05
ORD-01132,PROD-0077,3,252.19,0.05
ORD-01133,PROD-0047,1,12.61,0.0
ORD-01133,PROD-0053,1,76.69,0.1
ORD-01134,PROD-0062,5,68.16,0.05
ORD-01134,PROD-0063,2,141.61,0.1
ORD-01134,PROD-0097,5,97.54,0.05
ORD-01135,PROD-0092,4,172.48,0.05
ORD-01136,PROD-0098,5,232.83,0.05
ORD-01137,PROD-0025,5,405.16,0.0
ORD-01138,PROD-0080,3,53.84,0.0
ORD-01139,PROD-0017,1,271.38,0.05
ORD-01139,PROD-0035,1,605.6,0.1
ORD-01139,PROD-0037,2,547.68,0.0
ORD-01140,PROD-0097,7,97.54,0.0
ORD-01141,PROD-0033,5,74.33,0.0
ORD-01141,PROD-0049,4,82.88,0.05
ORD-01141,PROD-0105,4,65.54,0.0
ORD-01142,PROD-0027,2,475.67,0.2
ORD-01142,PROD-0061,7,132.61,0.0
ORD-01143,PROD-0026,6,289.77,0.15
ORD-01143,PROD-0047,1,12.61,0.0
ORD-01144,PROD-0051,1,76.8,0.2
ORD-01145,PROD-0012,4,118.44,0.05
ORD-01146,PROD-0014,3,22.81,0.15
ORD-01146,PROD-0017,3,271.38,0.1
