order_id,customer_id,order_date,sales_channel,payment_method
ORD-01001,CUST-0302,2025-11-08,In-Store,Credit Card
ORD-01002,CUST-0084,2025-04-29,Marketplace,Credit Card
ORD-01003,CUST-0391,2025-01-13,Online,Credit Card
ORD-01004,CUST-0100,2024-03-28,In-Store,PayPal
ORD-01005,CUST-0549,2025-12-04,Marketplace,Credit Card
ORD-01006,CUST-0151,2024-05-03,Phone Order,Credit Card
ORD-01007,CUST-0069,2024-03-30,Online,Credit Card
ORD-01008,CUST-0536,2025-03-05,Online,Credit Card
ORD-01009,CUST-0293,2025-07-02,Marketplace,Cash
ORD-01010,CUST-0039,2024-06-25,Online,Credit Card
ORD-01011,CUST-0487,2024-10-02,Marketplace,Credit Card
ORD-01012,CUST-0454,2024-11-24,Online,Credit Card
ORD-01013,CUST-0383,2024-02-27,In-Store,Credit Card
ORD-01014,CUST-0198,2024-07-24,Marketplace,Credit Card
ORD-01015,CUST-0127,2025-11-28,Online,Credit Card
ORD-01016,CUST-0265,2025-12-06,Online,Credit Card
ORD-01017,CUST-0227,2025-10-24,Online,Credit Card
ORD-01019,CUST-0282,2025-03-09,Marketplace,Cash
ORD-01020,CUST-0008,2025-06-07,Phone Order,Gift Card
ORD-01021,CUST-0284,2024-09-24,In-Store,Cash
ORD-01022,CUST-0615,2025-02-17,In-Store,PayPal
ORD-01023,CUST-0195,2024-12-17,In-Store,Credit Card
ORD-01024,CUST-0572,2024-07-04,Online,Credit Card
ORD-01025,CUST-0315,2025-03-06,Marketplace,Credit Card
ORD-01026,CUST-0055,2025-10-11,In-Store,Cash
ORD-01027,CUST-0391,2025-06-26,Online,Credit Card
ORD-01028,CUST-0083,2025-05-14,Online,Gift Card
ORD-01029,CUST-0163,2025-05-16,Marketplace,PayPal
ORD-01030,CUST-0489,2025-01-27,Online,Debit Card
ORD-01031,CUST-0353,2024-11-15,Online,Credit Card
ORD-01032,CUST-0611,2025-06-20,Online,Cash
ORD-01033,CUST-0023,2025-08-26,In-Store,Credit Card
ORD-01034,CUST-0021,2024-02-19,In-Store,Credit Card
ORD-01035,CUST-0309,2025-03-06,In-Store,Debit Card
ORD-01036,CUST-0108,2025-06-07,In-Store,Credit Card
ORD-01037,CUST-0270,2025-06-19,Phone Order,Credit Card
ORD-01038,CUST-0241,2024-01-03,Online,Credit Card
ORD-01039,CUST-0093,2025-06-07,Online,PayPal
ORD-01040,CUST-0119,2024-04-07,Marketplace,Cash
ORD-01041,CUST-0367,2025-03-24,Phone Order,Credit Card
ORD-01042,CUST-0432,2025-10-26,Marketplace,Credit Card
ORD-01043,CUST-0164,2024-04-16,Online,Debit Card
ORD-01044,CUST-0134,2025-05-09,Marketplace,Credit Card
ORD-01045,CUST-0591,2025-08-01,Online,Cash
ORD-01046,CUST-0153,2025-07-25,Marketplace,Debit Card
ORD-01047,CUST-0508,2024-06-18,Online,Debit Card
ORD-01048,CUST-0388,2025-02-16,Marketplace,Credit Card
ORD-01049,CUST-0019,2024-04-15,Online,Credit Card
ORD-01050,CUST-0576,2024-07-30,In-Store,Credit Card
ORD-01051,CUST-0615,2025-04-29,In-Store,Credit Card
ORD-01052,CUST-0299,2025-07-14,In-Store,PayPal
ORD-01053,CUST-0420,2024-04-19,Online,Credit Card
ORD-01054,CUST-0196,2024-12-12,Online,Credit Card
ORD-01055,CUST-0444,2025-08-22,In-Store,Debit Card
ORD-01056,CUST-0255,2024-10-07,Online,Credit Card
ORD-01057,CUST-0561,2024-11-17,In-Store,Cash
ORD-01058,CUST-0183,2025-05-30,In-Store,Debit Card
ORD-01059,CUST-0293,2025-03-08,Marketplace,Debit Card
ORD-01060,CUST-0274,2024-06-13,Phone Order,PayPal
ORD-01061,CUST-0555,2024-02-03,Online,Credit Card
ORD-01062,CUST-0524,2025-12-13,Online,Debit Card
ORD-01063,CUST-0377,2025-08-25,In-Store,Debit Card
ORD-01064,CUST-0439,2024-10-12,In-Store,Credit Card
ORD-01065,CUST-0331,2025-09-03,Online,Cash
ORD-01066,CUST-0326,2025-06-22,Online,Credit Card
ORD-01067,CUST-0414,2024-04-04,Online,Cash
ORD-01068,CUST-0575,2025-10-26,Online,Debit Card
ORD-01069,CUST-0329,2025-01-25,Marketplace,Cash
ORD-01070,CUST-0521,2025-01-04,In-Store,Credit Card
ORD-01071,CUST-0547,2024-01-08,In-Store,Credit Card
ORD-01072,CUST-0446,2025-10-24,Marketplace,Credit Card
ORD-01073,CUST-0234,2024-09-21,Online,Credit Card
ORD-01074,CUST-0065,2025-08-22,Online,PayPal
ORD-01075,CUST-0449,2025-01-25,Online,Debit Card
ORD-01076,CUST-0148,2024-11-01,In-Store,Cash
ORD-01077,CUST-0404,2025-07-04,In-Store,Credit Card
ORD-01078,CUST-0423,2025-10-23,Marketplace,Credit Card
ORD-01079,CUST-0186,2025-11-18,Marketplace,Cash
ORD-01080,CUST-0339,2024-12-31,Online,Debit Card
ORD-01081,CUST-0498,2025-04-06,Online,Debit Card
ORD-01082,CUST-0447,2024-10-10,Marketplace,Credit Card
ORD-01083,CUST-0288,2024-05-23,Marketplace,Credit Card
ORD-01084,CUST-0605,2024-08-05,Marketplace,Debit Card
ORD-01085,CUST-0604,2024-10-24,Online,Debit Card
ORD-01086,CUST-0170,2025-06-10,Online,Credit Card
ORD-01087,CUST-0042,2024-08-12,Marketplace,Credit Card
ORD-01088,CUST-0370,2025-02-01,Online,Credit Card
ORD-01089,CUST-0534,2025-10-10,Marketplace,PayPal
ORD-01090,CUST-0388,2025-01-09,In-Store,Cash
ORD-01091,CUST-0529,2025-02-19,Online,Cash
ORD-01092,CUST-0079,2025-06-10,In-Store,Credit Card
ORD-01093,CUST-0236,2025-02-28,Marketplace,PayPal
ORD-01094,CUST-0131,2025-08-10,In-Store,Credit Card
ORD-01095,CUST-0416,2025-09-05,Phone Order,Debit Card
ORD-01096,CUST-0421,2025-09-07,Online,Debit Card
ORD-01097,CUST-0395,2024-05-15,Online,Credit Card
ORD-01098,CUST-0545,2025-05-30,Marketplace,Credit Card
ORD-01099,CUST-0442,2025-06-18,Online,Cash
ORD-01100,CUST-0590,2024-04-10,Online,Credit Card
ORD-01101,CUST-0592,2025-06-19,Online,Credit Card
ORD-01102,CUST-0260,2024-09-24,Marketplace,Credit Card
ORD-01103,CUST-0184,2025-01-14,In-Store,Credit Card
